date,ncumul_conf
27/09/2021,6135.0
27/09/2021,22691.0
28/09/2021,59059.0
28/09/2021,10319.0
30/09/2021,nan
30/09/2021,79958.0
01/10/2021,36577.0
01/10/2021,19841.0
02/10/2021,67268.0
02/10/2021,59331.0
04/10/2021,16605.0
04/10/2021,8227.0
05/10/2021,22833.0
05/10/2021,36124.0
06/10/2021,59568.0
06/10/2021,10460.0
07/10/2021,140374.0
08/10/2021,80686.0
09/10/2021,37202.0
09/10/2021,19988.0
10/10/2021,25373.0
10/10/2021,16229.0
12/10/2021,16836.0
12/10/2021,8270.0
13/10/2021,22957.0
13/10/2021,36267.0
14/10/2021,4014.0
14/10/2021,59984.0
15/10/2021,141439.0
16/10/2021,81290.0
17/10/2021,97221.0
17/10/2021,43217.0
18/10/2021,16313.0
18/10/2021,141787.0
20/10/2021,8303.0
20/10/2021,37977.0
21/10/2021,23070.0
21/10/2021,36410.0
22/10/2021,10709.0
22/10/2021,16181.0
24/10/2021,38222.0
24/10/2021,20256.0
25/10/2021,4105.0
25/10/2021,60732.0
27/10/2021,82772.0
27/10/2021,23514.0
28/10/2021,38546.0
28/10/2021,20326.0
29/10/2021,43785.0
29/10/2021,3565.0
31/10/2021,23710.0
31/10/2021,37881.0
01/11/2021,43896.0
01/11/2021,3594.0
02/11/2021,1916.0
02/11/2021,145325.0
04/11/2021,17993.0
04/11/2021,8391.0
05/11/2021,23739.0
05/11/2021,36801.0
06/11/2021,16965.0
06/11/2021,147176.0
08/11/2021,60101.0
08/11/2021,6658.0
09/11/2021,4136.0
09/11/2021,4295.0
10/11/2021,148907.0
11/11/2021,nan
12/11/2021,8501.0
12/11/2021,40590.0
13/11/2021,3798.0
13/11/2021,70342.0
15/11/2021,4533.0
15/11/2021,19356.0
16/11/2021,7036.0
16/11/2021,24739.0
17/11/2021,4495.0
17/11/2021,65367.0
18/11/2021,154761.0
18/11/2021,18074.0
20/11/2021,42554.0
20/11/2021,21218.0
21/11/2021,18548.0
21/11/2021,157043.0
23/11/2021,8857.0
23/11/2021,43525.0
24/11/2021,38125.0
24/11/2021,46706.0
25/11/2021,68707.0
25/11/2021,12775.0
27/11/2021,99881.0
27/11/2021,28162.0
28/11/2021,74170.0
28/11/2021,70016.0
30/11/2021,29171.0
30/11/2021,42082.0
01/12/2021,73611.0
01/12/2021,8155.0
02/12/2021,76503.0
02/12/2021,5142.0
03/12/2021,21024.0
03/12/2021,2538.0
05/12/2021,75940.0
