date,value
01/05/2019,38074.0
01/05/2019,1391.0
01/05/2019,10606.0
01/05/2020,137546.0
01/05/2020,0.0
01/05/2020,57.0
01/05/2020,0.0
01/05/2020,0.0
01/05/2020,2.0
01/05/2021,707.0
01/05/2021,56.0
01/05/2021,125.0
01/05/2021,268.0
01/05/2022,169.0
01/05/2022,0.0
01/05/2022,50157.0
01/05/2022,1000.0
01/05/2022,402.0
01/05/2022,1191.0
01/06/2019,17799.0
01/06/2019,884389.0
01/06/2019,325.0
01/06/2019,6412.0
01/06/2020,0.0
01/06/2020,0.0
01/06/2020,524.0
01/06/2020,160.0
01/06/2020,0.0
01/06/2021,25873.0
01/06/2021,0.0
01/06/2021,0.0
01/06/2021,0.0
01/06/2021,0.0
01/06/2022,8646.0
01/06/2022,90031.0
01/06/2022,680.0
01/06/2022,1457.0
01/07/2019,15476.0
01/07/2019,373.0
01/07/2019,192061.0
01/07/2019,329728.0
01/07/2019,48410.0
01/07/2019,500.0
01/07/2020,0.0
01/07/2020,0.0
01/07/2020,53.0
01/07/2020,0.0
01/07/2021,0.0
01/07/2021,0.0
01/07/2021,0.0
01/07/2021,0.0
01/07/2021,0.0
01/07/2021,0.0
01/07/2022,558.0
01/07/2022,1487.0
01/07/2022,1563.0
01/07/2022,722.0
01/08/2019,30213.0
01/08/2019,89980.0
01/08/2019,2717.0
01/08/2019,6792.0
01/08/2020,0.0
01/08/2020,0.0
01/08/2020,283.0
01/08/2020,494.0
01/08/2020,46.0
01/08/2020,126.0
01/08/2021,0.0
01/08/2021,226.0
01/08/2021,0.0
01/08/2021,34.0
01/08/2022,41680.0
01/08/2022,193.0
01/08/2022,70635.0
01/08/2022,83.0
01/08/2022,143.0
01/08/2022,163.0
01/09/2019,5067.0
01/09/2019,11958.0
01/09/2019,13141.0
01/09/2019,3333.0
01/09/2020,1358.0
01/09/2020,434.0
01/09/2020,450.0
01/09/2020,0.0
01/09/2021,43.0
01/09/2021,0.0
01/09/2021,174.0
01/09/2021,0.0
01/09/2021,0.0
01/09/2021,27.0
01/09/2022,169.0
01/09/2022,175.0
01/09/2022,28.0
01/09/2022,8132.0
01/10/2019,42099.0
01/10/2019,56641.0
01/10/2019,48527.0
01/10/2019,269607.0
01/10/2019,388.0
01/10/2019,902.0
01/10/2020,0.0
01/10/2020,0.0
01/10/2020,94.0
01/10/2020,1629.0
01/10/2021,0.0
01/10/2021,0.0
01/10/2021,0.0
01/10/2021,58.0
01/10/2022,26454.0
01/10/2022,1517.0
01/10/2022,18023.0
01/10/2022,28678.0
01/10/2022,1000.0
01/10/2022,351.0
01/11/2019,48947.0
01/11/2019,3934.0
01/11/2019,668.0
01/11/2019,541.0
01/11/2020,598.0
01/11/2020,293.0
01/11/2020,241.0
01/11/2020,1810.0
01/11/2020,66.0
01/11/2020,75.0
01/11/2021,0.0
01/11/2021,0.0
01/11/2021,79.0
01/11/2021,19.0
01/11/2022,12449.0
01/11/2022,4259.0
01/11/2022,6832.0
01/11/2022,3814.0
01/12/2019,2074.0
01/12/2019,179208.0
01/12/2019,8063.0
01/12/2019,32914.0
01/12/2019,361.0
01/12/2019,5749.0
01/12/2020,349.0
01/12/2020,564.0
01/12/2020,898.0
01/12/2020,0.0
01/12/2021,0.0
01/12/2021,1293.0
01/12/2021,382.0
01/12/2021,286.0
