SNo,Confirmed
33088.0,19398.0
33089.0,377.0
33152.0,12679.0
33153.0,3.0
33216.0,254.0
33217.0,146.0
33280.0,1951.0
33281.0,147.0
33344.0,772.0
33345.0,3908.0
33408.0,1599.0
33409.0,3264.0
33472.0,30658.0
33473.0,8143.0
33536.0,3580.0
33537.0,77.0
33600.0,70.0
33601.0,45398.0
33664.0,2246.0
33665.0,2092.0
33728.0,1351.0
33729.0,620.0
33792.0,489.0
33793.0,35788.0
33856.0,3270.0
33857.0,7.0
33920.0,15151.0
33921.0,2971.0
33984.0,155.0
33985.0,1951.0
34048.0,101163.0
34049.0,2709.0
34112.0,0.0
34113.0,843.0
34176.0,16689.0
34177.0,1.0
34240.0,12.0
34241.0,1695.0
34304.0,6260.0
34305.0,102.0
34368.0,160696.0
34369.0,8168.0
34432.0,3932.0
34433.0,11523.0
34496.0,2173.0
34497.0,3817.0
34560.0,911.0
34561.0,1731.0
34624.0,10080.0
34625.0,2011.0
34688.0,4053.0
34689.0,9348.0
34752.0,14885.0
34753.0,74.0
34816.0,4499.0
34817.0,398.0
34880.0,25.0
34881.0,174.0
34944.0,2077.0
34945.0,592.0
35008.0,40966.0
35009.0,29767.0
35072.0,352.0
35073.0,25.0
35136.0,237.0
35137.0,3255.0
35200.0,11265.0
35201.0,882.0
35264.0,358.0
35265.0,122.0
35328.0,984.0
35329.0,1380.0
35392.0,95890.0
35393.0,17158.0
35456.0,6907.0
35457.0,1540.0
35520.0,1662.0
35521.0,10532.0
35584.0,0.0
35585.0,0.0
35648.0,261.0
35649.0,48.0
35712.0,2474.0
35713.0,0.0
35776.0,43434.0
35777.0,11719.0
35840.0,269.0
35841.0,5808.0
35904.0,196.0
35905.0,27615.0
35968.0,1102.0
35969.0,507.0
36032.0,4056.0
36033.0,9634.0
36096.0,15406.0
36097.0,80.0
36160.0,1131.0
36161.0,3804.0
36224.0,440.0
36225.0,13453.0
36288.0,1.0
36289.0,1681.0
36352.0,683.0
36353.0,3878.0
36416.0,409.0
36417.0,8303.0
36480.0,169218.0
36481.0,284868.0
36544.0,141.0
36545.0,2490.0
36608.0,965.0
36609.0,203.0
36672.0,299.0
36673.0,336.0
36736.0,743.0
36737.0,69562.0
36800.0,495.0
36801.0,133.0
36864.0,9449.0
36865.0,12037.0
36928.0,26177.0
36929.0,1255.0
36992.0,76.0
36993.0,69.0
37056.0,39.0
37057.0,1939.0
37120.0,1504.0
37121.0,1118.0
37184.0,510.0
37185.0,16.0
37248.0,131769.0
37249.0,13865.0
37312.0,81.0
37313.0,9145.0
37376.0,406.0
37377.0,1168.0
37440.0,2079.0
37441.0,773.0
37504.0,996.0
37505.0,38476.0
37568.0,1.0
37569.0,1007.0
37632.0,4620.0
37633.0,1581.0
37696.0,1263.0
37697.0,10265.0
37760.0,154.0
37761.0,3072.0
37824.0,451.0
37825.0,15.0
37888.0,991.0
37889.0,1574.0
37952.0,163.0
37953.0,564.0
38016.0,1604.0
38017.0,254.0
38080.0,518.0
38081.0,3490.0
38144.0,436.0
38145.0,548.0
38208.0,4436.0
38209.0,13548.0
38272.0,9727.0
38273.0,177.0
38336.0,0.0
38337.0,0.0
38400.0,305.0
38401.0,59.0
38464.0,2989.0
38465.0,0.0
38528.0,52991.0
38529.0,11902.0
38592.0,348.0
38593.0,6761.0
38656.0,224.0
38657.0,28347.0
38720.0,1123.0
38721.0,1107.0
38784.0,6082.0
38785.0,4062.0
38848.0,838.0
38849.0,15918.0
38912.0,27.0
38913.0,1306.0
38976.0,1673.0
38977.0,440.0
39040.0,1.0
39041.0,1691.0
39104.0,728.0
39105.0,4390.0
39168.0,8338.0
39169.0,1962.0
39232.0,665.0
39233.0,40507.0
39296.0,47496.0
39297.0,594.0
39360.0,22.0
39361.0,6175.0
39424.0,602.0
39425.0,1254.0
39488.0,330.0
39489.0,3690.0
39552.0,199785.0
39553.0,46457.0
39616.0,7831.0
39617.0,679.0
39680.0,10615.0
39681.0,177.0
39744.0,0.0
39745.0,64.0
39808.0,17034.0
39809.0,8882.0
39872.0,180156.0
39873.0,16675.0
39936.0,12102.0
39937.0,11.0
40000.0,4764.0
40001.0,967.0
40064.0,1420.0
40065.0,4130.0
40128.0,164.0
40129.0,7.0
40192.0,10823.0
40193.0,1889.0
40256.0,2853.0
40257.0,2560.0
